================ Precision Log (Fri Apr 11 16:02:27 2025) ================
Epoch:340  sam 3.6301302909851074,psnr 31.521833419799805,ergas 0.7044991995604456,cc 0.9644221767378072,rmse 0.022256912422741235,Ssim 0.9225596644460049,Uqi 0.9945344863710761
Epoch:350  sam 3.324066638946533,psnr 32.211395263671875,ergas 0.695152071347564,cc 0.965444508952333,rmse 0.020288980409724416,Ssim 0.9219918055162305,Uqi 0.9947784605323532
Epoch:360  sam 3.101255416870117,psnr 32.583106994628906,ergas 0.6496236447897946,cc 0.9624783875326102,rmse 0.019454990534373634,Ssim 0.9255790770709637,Uqi 0.9952213147059621
Epoch:370  sam 2.9075253009796143,psnr 32.393314361572266,ergas 0.6453685054116549,cc 0.9676995002402953,rmse 0.019805195666481333,Ssim 0.9325950853629124,Uqi 0.9953122466323765
Epoch:380  sam 3.1435234546661377,psnr 32.45759963989258,ergas 0.6652636446063354,cc 0.967793367364591,rmse 0.019521493994728405,Ssim 0.930761089306849,Uqi 0.9952667434075311
Epoch:390  sam 2.9479291439056396,psnr 32.53538513183594,ergas 0.6485090257197371,cc 0.965560023448589,rmse 0.019364051535967333,Ssim 0.9324917839346261,Uqi 0.9947598138098969
Epoch:400  sam 3.375286340713501,psnr 31.344572067260742,ergas 0.7150587047569928,cc 0.9658686635251077,rmse 0.024460409647174403,Ssim 0.9306019844492535,Uqi 0.9937196818710137
Epoch:410  sam 2.9505016803741455,psnr 32.93461227416992,ergas 0.6279443161744075,cc 0.9688583772823256,rmse 0.018880434907777348,Ssim 0.9345512655569782,Uqi 0.9955942177379773
Epoch:420  sam 2.706878423690796,psnr 31.1490478515625,ergas 0.7230321353885754,cc 0.9701975371206042,rmse 0.022612115673647477,Ssim 0.9398747027321289,Uqi 0.9936821110953048
Epoch:430  sam 2.7366414070129395,psnr 32.993186950683594,ergas 0.6084006683543441,cc 0.9698003776411852,rmse 0.019001462115469422,Ssim 0.9403080664638991,Uqi 0.9958292272127758
Epoch:440  sam 2.7892775535583496,psnr 33.90537643432617,ergas 0.5563930292108873,cc 0.9722711452508724,rmse 0.017084024145993228,Ssim 0.9436787196889179,Uqi 0.9967651368709083
Epoch:450  sam 2.6329121589660645,psnr 34.34147644042969,ergas 0.5257029259797674,cc 0.9734172902626352,rmse 0.016143057222571162,Ssim 0.9452068111271977,Uqi 0.9972197224253854
Epoch:460  sam 2.6148386001586914,psnr 29.69984245300293,ergas 0.8541760786420769,cc 0.9731139403424551,rmse 0.02670197392398612,Ssim 0.9435222933087181,Uqi 0.9905942483687611
Epoch:470  sam 2.7068428993225098,psnr 31.861684799194336,ergas 0.690645422305254,cc 0.9733125513677299,rmse 0.020858287230535174,Ssim 0.9453508243796256,Uqi 0.9941507166775005
Epoch:480  sam 2.7147185802459717,psnr 33.06421661376953,ergas 0.6016000944183341,cc 0.9706484835416155,rmse 0.018658928330178678,Ssim 0.9430778745865956,Uqi 0.9959578900303101
Epoch:490  sam 2.6948916912078857,psnr 34.15574264526367,ergas 0.5398497243195132,cc 0.9717379438128803,rmse 0.016590841317917028,Ssim 0.9430167319788649,Uqi 0.9968666634516689
Epoch:500  sam 2.592205762863159,psnr 31.820390701293945,ergas 0.6705240702189804,cc 0.9724485442249046,rmse 0.021083696013305654,Ssim 0.9435839276247756,Uqi 0.9942450851348288
Epoch:510  sam 2.8759517669677734,psnr 33.51115798950195,ergas 0.6008611738814817,cc 0.9739623726053911,rmse 0.017310290517108008,Ssim 0.9439036506876199,Uqi 0.9962167139846891
